epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,10480.059504132232,73336.0703125,"(16.999997501325453, 89.99713941501977, 73426.0703125)","(845.0000199661895, 99364.00071942426, 99357.609375)",0.6233974695205688,0.0813791826133929
1,4232.632644628099,43602.47265625,"(28.999998345479327, 908.0018910112267, 44510.48046875)","(765.0000024112466, 99071.99970588222, 99072.140625)",0.18564201891422272,0.11328299965696563
2,610.0139462809917,7004.515625,"(48.000001172962556, 5122.997457941703, 12127.515625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0033538120333105326,0.1383092757181165
3,189.25428719008264,4520.0625,"(3819.0000293942053, 99999.0006709182, 104519.0625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0009520375169813633,0.15970747594550916
4,244.24315599173553,1504.4375,"(3819.0000293942053, 99999.0006709182, 101503.4375)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0011633946560323238,0.1787584970378424
5,437.4300619834711,5343.609375,"(3819.0000293942053, 99999.0006709182, 105342.609375)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0013702837750315666,0.19612703379954757
6,485.7794938016529,4328.2421875,"(3819.0000293942053, 99999.0006709182, 104327.2421875)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0012216134928166866,0.21221106894519412
7,513.5529958677686,2564.5,"(2676.000060806525, 99996.00051465246, 97431.5)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0012652804143726826,0.22727206723966908
8,293.20118801652893,2967.46875,"(3819.0000293942053, 99999.0006709182, 102966.46875)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0008733104332350194,0.2414925826518921
9,613.5068698347108,8346.0078125,"(3819.0000293942053, 99999.0006709182, 108345.0078125)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0012981933541595936,0.25500632521876754
10,470.36745867768593,7931.484375,"(3819.0000293942053, 99999.0006709182, 107930.484375)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0008393439347855747,0.26791454062403924
11,435.9990702479339,4254.7890625,"(3819.0000293942053, 99999.0006709182, 104253.7890625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0007135735359042883,0.28029632027939877
12,160.86627066115702,4214.3203125,"(3819.0000293942053, 99999.0006709182, 104213.3203125)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.00033292893203906715,0.2922147749775523
13,108.06905991735537,1794.4140625,"(3819.0000293942053, 99999.0006709182, 101793.4140625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.00023826885444577783,0.30372117673230664
14,186.03091425619834,946.421875,"(2288.9999486009033, 99990.00020212098, 99043.578125)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.00017156358808279037,0.3148579283932163
15,197.8676394628099,2734.015625,"(3819.0000293942053, 99999.0006709182, 102733.015625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.000154419569298625,0.3256606507074225
16,244.59165805785125,1097.1875,"(2288.9999486009033, 99990.00020212098, 98892.8125)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0001808092201827094,0.3361594322460353
17,277.1085227272727,1161.9140625,"(2520.000067723401, 99994.0004104753, 98832.0859375)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.00018074276158586144,0.34638012872436846
18,278.0321280991736,2252.6875,"(3819.0000293942053, 99999.0006709182, 102251.6875)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.0003003252495545894,0.35634506246489794
19,122.64076704545455,1137.0625,"(3819.0000293942053, 99999.0006709182, 101136.0625)","(6.000007163862023, -0.0012390801857691258, 0.0)",5.757161488872953e-05,0.3660737593185948
20,133.87727272727273,1367.2265625,"(3819.0000293942053, 99999.0006709182, 101366.2265625)","(6.000007163862023, -0.0012390801857691258, 0.0)",7.363623444689438e-05,0.37558327451685797
21,169.20661157024793,1383.625,"(3819.0000293942053, 99999.0006709182, 101382.625)","(6.000007163862023, -0.0012390801857691258, 0.0)",0.00012491692905314267,0.3848887651495886
22,106.05830320247934,672.234375,"(78.99999589916173, 18269.997688246003, 17597.765625)","(6.000007163862023, -0.0012390801857691258, 0.0)",5.6390930694760755e-05,0.39400364381738134
23,137.53110795454546,1281.203125,"(3819.0000293942053, 99999.0006709182, 101280.203125)","(6.000007163862023, -0.0012390801857691258, 0.0)",4.90602214995306e-05,0.4029399269051294
24,127.29121900826446,647.1484375,"(2520.000067723401, 99994.0004104753, 99346.8515625)","(6.000007163862023, -0.0012390801857691258, 0.0)",4.101023296243511e-05,0.4117084355998264
25,116.12129390495868,1074.7734375,"(30.000008852169714, 1042.0025614039187, 2116.78125)","(6.000007163862023, -0.0012390801857691258, 0.0)",6.484935147454962e-05,0.4203188931226874
26,27.84058626033058,667.9453125,"(3819.0000293942053, 99999.0006709182, 100666.9453125)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.2916646483063232e-05,0.4287801188723596
27,28.62443181818182,321.0234375,"(28.000005729664764, 790.0020540358091, 1111.03125)","(6.000007163862023, -0.0012390801857691258, 0.0)",6.78407377563417e-06,0.4371001582736108
28,48.05220493285124,300.46875,"(3819.0000293942053, 99999.0006709182, 100299.46875)","(6.000007163862023, -0.0012390801857691258, 0.0)",8.560701644455548e-06,0.44528631868345847
29,48.60274728822314,433.7734375,"(3819.0000293942053, 99999.0006709182, 100432.7734375)","(6.000007163862023, -0.0012390801857691258, 0.0)",8.343561603396665e-06,0.4533453057533763
30,21.350093620867767,585.5,"(3819.0000293942053, 99999.0006709182, 100584.5)","(6.000007163862023, -0.0012390801857691258, 0.0)",2.8219585601618746e-06,0.4612833053122244
31,23.640938145661156,328.609375,"(3819.0000293942053, 99999.0006709182, 100327.609375)","(6.000007163862023, -0.0012390801857691258, 0.0)",2.5363312943227356e-06,0.46910597696743633
32,15.70654054752066,138.5078125,"(2901.9998948141847, 99997.00056674104, 99858.4921875)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.4900864471201203e-06,0.4768185530841681
33,19.827643982438016,392.046875,"(3819.0000293942053, 99999.0006709182, 100391.046875)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.6623191640974255e-06,0.48442590993321183
34,17.61934723657025,258.640625,"(3819.0000293942053, 99999.0006709182, 100257.640625)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.6934359337028582e-06,0.4919325294081781
35,18.42697249483471,346.3203125,"(3819.0000293942053, 99999.0006709182, 100345.3203125)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.1624292710621376e-06,0.4993426155222754
36,13.683848786157025,164.765625,"(3819.0000293942053, 99999.0006709182, 100163.765625)","(6.000007163862023, -0.0012390801857691258, 0.0)",7.98546977875958e-07,0.5066600559758649
37,15.825868414256199,452.6328125,"(3819.0000293942053, 99999.0006709182, 100451.6328125)","(6.000007163862023, -0.0012390801857691258, 0.0)",1.0731986321843578e-06,0.513888514241008
38,14.758293517561983,101.7421875,"(78.99999589916173, 18269.997688246003, 18168.2578125)","(6.000007163862023, -0.0012390801857691258, 0.0)",7.393612122541526e-07,0.5210313875670902
39,15.159998063016529,103.7109375,"(50.99999691128207, 6173.001675134437, 6069.2890625)","(6.000007163862023, -0.0012390801857691258, 0.0)",6.650823820564256e-07,0.5280918782164445
40,13.518217329545454,92.1015625,"(3257.0001001867345, 99998.00061882962, 99905.8984375)","(6.000007163862023, -0.0012390801857691258, 0.0)",5.817602755087137e-07,0.5350729805605139
41,13.193814566115703,93.9453125,"(78.99999589916173, 18269.997688246003, 18176.0546875)","(6.000007163862023, -0.0012390801857691258, 0.0)",5.720938247577578e-07,0.5419775223767596
42,10.776194473140496,102.078125,"(78.99999589916173, 18269.997688246003, 18167.921875)","(6.000007163862023, -0.0012390801857691258, 0.0)",4.1071223222388653e-07,0.5488081645621786
43,10.6892142303719,103.4296875,"(78.99999589916173, 18269.997688246003, 18166.5703125)","(6.000007163862023, -0.0012390801857691258, 0.0)",3.8776781252636283e-07,0.5555673938997812
44,10.037922908057851,70.8671875,"(78.99999589916173, 18269.997688246003, 18199.1328125)","(6.000007163862023, -0.0012390801857691258, 0.0)",3.560714674222254e-07,0.5622575933069665
45,9.56862409607438,76.609375,"(51.99999847253454, 6523.000977706382, 6446.390625)","(6.000007163862023, -0.0012390801857691258, 0.0)",3.1541298994852696e-07,0.5688809935869603
46,9.409100594008265,67.21875,"(51.99999847253454, 6523.000977706382, 6455.78125)","(6.000007163862023, -0.0012390801857691258, 0.0)",3.0271903028733504e-07,0.5754397047831032
47,9.041835614669422,66.2578125,"(78.99999589916173, 18269.997688246003, 18203.7421875)","(6.000007163862023, -0.0012390801857691258, 0.0)",2.9108767307661765e-07,0.5819357418308151
48,8.867768595041323,66.9765625,"(78.99999589916173, 18269.997688246003, 18203.0234375)","(6.000007163862023, -0.0012390801857691258, 0.0)",2.865786257189029e-07,0.5883710216067417
49,8.841754907024793,66.234375,"(78.99999589916173, 18269.997688246003, 18203.765625)","(6.000007163862023, -0.0012390801857691258, 0.0)",2.858650987036526e-07,0.5947473198417446
