epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
36,432.7857916666667,2825.5625,"(8340.999916777626, 932311.0039013964, 929485.4375)","(2792.000000423375, 599812.0003385434, 599812.0)",4.2928965942539635e-06,0.501234593299647
37,423.6182152777778,2772.6875,"(11382.000291859262, 999747.0041561043, 996974.3125)","(5.00009621791196, 1019.9978937919368, 1019.78125)",3.899319280107092e-06,0.5083832182117412
38,375.5934236111111,2152.875,"(8895.999932097899, 941556.0014937326, 943708.875)","(4159.000006654479, 827640.9951727705, 827640.9375)",3.1415788220733198e-06,0.5154471867231878
39,404.001125,2324.875,"(8895.999932097899, 941556.0014937326, 943880.875)","(1208.9999320119882, 264809.00630200363, 264808.8125)",3.551280466732957e-06,0.5224296626860494
40,400.97478472222224,2549.3125,"(8895.999932097899, 941556.0014937326, 944105.3125)","(2163.000018230471, 471963.0001643167, 471963.09375)",3.5646369269670686e-06,0.5293336089648554
41,367.0790069444445,2640.9375,"(8895.999932097899, 941556.0014937326, 944196.9375)","(1242.0000608387838, 271236.9958403985, 271237.125)",3.078033614656306e-06,0.536161818512578
42,369.6185486111111,1902.625,"(8895.999932097899, 941556.0014937326, 943458.625)","(9424.000184580065, 957176.0125681038, 957176.0)",2.889420203347173e-06,0.5429169194359196
43,347.35805555555555,1779.1875,"(8895.999932097899, 941556.0014937326, 943335.1875)","(3724.0000007573276, 767903.0082378353, 767902.875)",2.5195924990839558e-06,0.5496013885451285
44,337.3360486111111,1953.0,"(8895.999932097899, 941556.0014937326, 943509.0)","(2992.9999954818827, 636713.0021564529, 636713.0)",2.4341223807924607e-06,0.5562175741788569
45,321.95610416666665,1866.0625,"(8895.999932097899, 941556.0014937326, 943422.0625)","(830.000000852438, 180481.98675459367, 180481.96875)",2.1918854145042133e-06,0.5627676753585594
46,309.5156944444444,1775.25,"(9241.999885159534, 953510.0027265246, 951734.75)","(1.0000531972918907, -0.012272312305867672, 0.0)",2.0258734012814884e-06,0.5692537890550322
47,302.07796527777776,1787.875,"(8895.999932097899, 941556.0014937326, 943343.875)","(1.0000531972918907, -0.012272312305867672, 0.0)",1.9352612778473285e-06,0.575677910630828
48,299.49427777777777,1707.5,"(8895.999932097899, 941556.0014937326, 943263.5)","(1.0000531972918907, -0.012272312305867672, 0.0)",1.8951545825984795e-06,0.5820419076256329
49,298.74089583333335,1703.75,"(9241.999885159534, 953510.0027265246, 951806.25)","(1.0000531972918907, -0.012272312305867672, 0.0)",1.884447707804308e-06,0.5883475833845339
