epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,70240.89945945946,746167.5,"(18.000000485703794, 1107.001623560558, 747274.5)","(1203.0000153451622, 998529.001369468, 998534.625)",0.5758406519889832,0.06609483212053927
1,24003.632432432434,387268.25,"(32.00000057009592, 13510.976612153812, 400779.1875)","(617.000001524392, 978982.0003389093, 978982.25)",0.130592480301857,0.0914009274366516
2,4332.099189189189,62725.5,"(47.999999380499446, 52118.980274463654, 114844.4375)","(4.000000401311667, -0.00678819406311959, 0.0)",0.002443535951897502,0.11126254163966523
3,1741.9898648648648,26081.125,"(5200.000129462238, 999999.0027232977, 1026080.125)","(4.000000401311667, -0.00678819406311959, 0.0)",0.001100021181628108,0.12824831246972332
4,1161.225945945946,15965.25,"(5200.000129462238, 999999.0027232977, 1015964.25)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0010448487009853125,0.1433726132603037
5,2075.4704054054055,33532.875,"(5200.000129462238, 999999.0027232977, 1033531.875)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0010332911042496562,0.15716152679065842
6,3716.2497297297296,58539.25,"(5200.000129462238, 999999.0027232977, 1058538.25)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0011279763421043754,0.16993095313939385
7,3473.3037837837837,15945.0,"(5200.000129462238, 999999.0027232977, 1015944.0)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0009150942787528038,0.18188799629091482
8,3004.2432432432433,19363.875,"(5200.000129462238, 999999.0027232977, 1019362.875)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0006790307816118002,0.19317760072752038
9,3030.338918918919,55816.75,"(5200.000129462238, 999999.0027232977, 1055815.75)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0006925329798832536,0.20390568473239964
10,2158.8505405405404,62859.375,"(5200.000129462238, 999999.0027232977, 1062858.375)","(4.000000401311667, -0.00678819406311959, 0.0)",0.0004768787184730172,0.214152701540394
11,341.9808108108108,16670.5,"(5200.000129462238, 999999.0027232977, 1016669.5)","(4.000000401311667, -0.00678819406311959, 0.0)",0.00019127530686091632,0.22398138377442178
12,347.0748986486486,7883.3125,"(5200.000129462238, 999999.0027232977, 1007882.3125)","(4.000000401311667, -0.00678819406311959, 0.0)",0.00012774630158673972,0.2334418111131659
13,2193.7032432432434,24739.5,"(5200.000129462238, 999999.0027232977, 1024738.5)","(4.000000401311667, -0.00678819406311959, 0.0)",0.00028276900411583483,0.24257473233858162
