epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,23326.1003,48197.5,"(0.9998624230738642, 0.0014087666568229906, 48197.5)","(5211.999995543093, 51817.99995932162, 51812.421875)",0.8745418429374695,0.057313869999767196
1,19104.8173,41580.6171875,"(9999.9998687084, 99996.99888067489, 58416.3828125)","(5144.000001450665, 51144.00003552081, 51149.60546875)",0.6058691564947367,0.0787819675436185
2,4549.563125,20893.9296875,"(9999.9998687084, 99996.99888067489, 79103.0703125)","(4703.000009461395, 46677.000075287775, 46677.09375)",0.05826361472718418,0.09563864215174665
3,600.38994375,3776.984375,"(9999.9998687084, 99996.99888067489, 96220.015625)","(2080.9998433294672, 20502.001556257503, 20502.0078125)",0.0009294347168179229,0.11005754744910223
4,124.869528125,556.58203125,"(29.000127654783682, 224.9988703368872, 781.58203125)","(4575.999983880207, 45437.99980639034, 45438.0078125)",3.1335549283539874e-05,0.12289769055789647
5,84.8548,324.73046875,"(29.000127654783682, 224.9988703368872, 549.73046875)","(9462.000119983602, 94618.001266983, 94618.0)",1.417046514688991e-05,0.1346048831054987
6,62.6498734375,234.8984375,"(6149.000025246136, 61312.0002046652, 61077.1015625)","(2061.9998841196943, 20318.000812194186, 20318.013671875)",7.076490737745189e-06,0.145446832983685
7,53.0467640625,194.455078125,"(2850.000063124525, 28159.99976509604, 28354.455078125)","(6548.9999753449065, 65332.00008145454, 65332.0)",4.963992114426219e-06,0.15559929053242477
8,47.98152890625,211.046875,"(6071.000034547603, 60482.00029658244, 60270.953125)","(3071.0000224612736, 30426.00030767301, 30426.005859375)",4.584025214171561e-06,0.16518502985408456
9,235.96693125,359.896484375,"(2372.999984620524, 23454.99970450573, 23095.1015625)","(0.9998624230738642, 0.0014087666568229906, 0.0)",6.943672633497044e-05,0.17429402123164128
10,68.20139296875,269.296875,"(1.9998964255109968, 6.001433029596228, 275.296875)","(3647.999981171757, 36139.00013407401, 36138.9765625)",7.305315102712484e-06,0.18299447104680436
11,43.01376875,221.0625,"(9999.9998687084, 99996.99888067489, 99775.9375)","(3463.9999921066837, 34247.00024181415, 34247.0)",3.5159796425432432e-06,0.19133965124278574
12,132.44675,272.484375,"(5876.000014873986, 58525.00014147413, 58252.515625)","(0.9998624230738642, 0.0014087666568229906, 0.0)",2.358233759878203e-05,0.19937202462232032
13,30.84229453125,153.515625,"(1.9998964255109968, 6.001433029596228, 159.515625)","(1354.9998836752775, 13286.999966397569, 13287.0)",1.8950764115288621e-06,0.20712618213027065
14,31.47589375,248.2734375,"(1.9998964255109968, 6.001433029596228, 254.2734375)","(547.99991716981, 5332.9988364427045, 5333.00390625)",2.2137360474516753e-06,0.21463071892988256
15,30.01805234375,120.900390625,"(2865.0000580336823, 28322.000420195265, 28442.900390625)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.7117429479185375e-06,0.22190959501922264
16,29.9769140625,126.8203125,"(2831.9999662080545, 27977.00074922145, 28103.8203125)","(6957.999973901911, 69378.99920535463, 69379.0)",1.7514543969809893e-06,0.22898317415705963
17,93.7277296875,186.953125,"(6892.999995962228, 68659.99974613616, 68846.953125)","(3641.000000718397, 36075.999879313196, 36075.8359375)",1.209263427881524e-05,0.23586884424454616
18,27.88590546875,116.1796875,"(9999.9998687084, 99996.99888067489, 99880.8203125)","(5734.999985458795, 57054.00022751858, 57054.0)",1.5198998539744935e-06,0.2425816938887648
19,125.126490625,221.7890625,"(8450.000051343846, 84296.0009061262, 84517.7890625)","(5836.999976597436, 58137.00029661595, 58140.9296875)",2.0193664749967865e-05,0.24913484999812874
20,87.5356625,186.0625,"(8450.000051343846, 84296.0009061262, 84482.0625)","(5831.999978294384, 58080.00006611808, 58079.953125)",1.0576827753538964e-05,0.2555398709146087
21,28.283883203125,110.296875,"(9999.9998687084, 99996.99888067489, 99886.703125)","(3937.9999686033716, 39039.99979618838, 39040.0)",1.4536438811774134e-06,0.2618069647003055
22,65.190715625,170.390625,"(7360.999940153426, 73524.00044969423, 73353.609375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",6.344957091641845e-06,0.26794518155359215
23,40.70978203125,144.828125,"(9629.999994282512, 96252.00097800913, 96396.828125)","(3988.000037488465, 39530.000053516436, 39530.0078125)",3.0092065571807326e-06,0.27396264967279016
24,33.3721484375,116.302734375,"(2557.999921833468, 25229.999985710823, 25346.302734375)","(6588.999961769327, 65717.99991822508, 65718.0)",2.058760071577126e-06,0.2798666433083763
25,38.28018046875,142.69140625,"(3601.000014293977, 35680.00000210445, 35537.30859375)","(9319.000065490818, 93146.99876681011, 93146.9921875)",2.5993258532253094e-06,0.2856637557318045
26,31.466086328125,151.552734375,"(1918.999829626911, 18823.00166325936, 18974.552734375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.9619331851572498e-06,0.29135993823724954
27,23.2586515625,111.83984375,"(9.000134442573653, 57.00163926453388, 168.83984375)","(4344.999985010069, 43072.00015253981, 43072.0)",1.050840171501477e-06,0.29696060343542013
28,26.117416796875,107.703125,"(6892.999995962228, 68659.99974613616, 68767.703125)","(2542.9999269243103, 25100.99946405774, 25101.001953125)",1.2936769849147822e-06,0.3024707143197387
29,25.271603125,88.9296875,"(1381.0000809021126, 13515.00088838907, 13603.9296875)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.1639537547125656e-06,0.3078947876423321
30,26.42054453125,93.53515625,"(5861.999968112699, 58386.999583426645, 58293.46484375)","(3670.0000423888423, 36355.00014546719, 36355.0)",1.257421047284879e-06,0.31323699899120766
31,24.97563671875,90.703125,"(8450.000051343846, 84296.0009061262, 84386.703125)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.0983796869368235e-06,0.318501168765405
32,22.25523515625,92.140625,"(6892.999995962228, 68659.99974613616, 68752.140625)","(0.9998624230738642, 0.0014087666568229906, 0.0)",9.504375270807941e-07,0.323690856176765
33,23.635341796875,83.53125,"(8885.000075418551, 88862.99868452412, 88779.46875)","(0.9998624230738642, 0.0014087666568229906, 0.0)",9.62214812716411e-07,0.32880932128106943
34,25.8279546875,83.16015625,"(3824.000041635601, 37959.999739222476, 37876.83984375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.1797122965617745e-06,0.3338596241295477
35,23.806758203125,124.015625,"(5876.000014873986, 58525.00014147413, 58400.984375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",1.0674195664250875e-06,0.33884458256776057
36,22.741044921875,96.6875,"(5864.000036117574, 58405.999660259266, 58309.3125)","(0.9998624230738642, 0.0014087666568229906, 0.0)",9.987406315303815e-07,0.34376683538983677
37,22.9055484375,89.34375,"(5861.999968112699, 58386.999583426645, 58297.65625)","(0.9998624230738642, 0.0014087666568229906, 0.0)",9.59537385369913e-07,0.34862884845644104
38,22.21956796875,93.65625,"(5861.999968112699, 58386.999583426645, 58293.34375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",8.851445272739511e-07,0.35343293600035586
39,21.4113421875,93.59765625,"(5861.999968112699, 58386.999583426645, 58293.40234375)","(0.9998624230738642, 0.0014087666568229906, 0.0)",8.323788051711745e-07,0.35818125096038156
40,21.407865234375,79.734375,"(6892.999995962228, 68659.99974613616, 68739.734375)","(8240.00012261564, 82257.99956139582, 82258.0)",8.280700626528414e-07,0.36287582246702726
41,21.169273828125,94.0234375,"(5861.999968112699, 58386.999583426645, 58292.9765625)","(4091.99996785013, 40558.999904247394, 40558.99609375)",8.038197734094865e-07,0.36751855319715965
42,20.69377265625,90.5390625,"(5861.999968112699, 58386.999583426645, 58296.4609375)","(7481.999933429124, 74700.00003279462, 74700.0)",7.759388381600729e-07,0.3721112405955682
43,20.353441796875,85.05078125,"(5861.999968112699, 58386.999583426645, 58301.94921875)","(0.9998624230738642, 0.0014087666568229906, 0.0)",7.424391242238925e-07,0.3766555780205996
