epoch,avg_error,max_error,max_error_example,correct_example,average_validation_loss,epsilon
0,254.33869140625,537.0400390625,"(1.0000005527381077, -6.148467434741178e-06, 537.0400390625)","(55.00000013950661, 535.9999987712974, 540.485595703125)",0.9763278961181641,0.08956959281044004
1,241.545390625,514.7625732421875,"(1.0000005527381077, -6.148467434741178e-06, 514.7625732421875)","(55.00000013950661, 535.9999987712974, 535.5857543945312)",0.8839283585548401,0.12496721305920044
2,212.7854296875,470.01611328125,"(1.0000005527381077, -6.148467434741178e-06, 470.01611328125)","(54.000000100907826, 524.9999986041506, 525.3797607421875)",0.696176290512085,0.15272926793294744
3,147.4912890625,393.2414855957031,"(1.0000005527381077, -6.148467434741178e-06, 393.2414855957031)","(55.00000013950661, 535.9999987712974, 534.5972290039062)",0.3809140622615814,0.17646517828943978
4,50.223564453125,210.6005859375,"(1.9999993425538847, 2.0000108123347218, 212.6005859375)","(64.0000000706347, 627.9999985568319, 627.910888671875)",0.07336996495723724,0.19759691209476618
5,9.217827758789063,34.242828369140625,"(1.9999993425538847, 2.0000108123347218, 36.242828369140625)","(80.0000015207373, 789.9999889252963, 790.02197265625)",0.001687181880697608,0.21686228084770323
6,3.359355163574219,10.4686279296875,"(78.00000061101773, 760.0000005625928, 770.4686279296875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",0.00019450030231382698,0.23470316452436316
7,2.6623776245117186,8.5576171875,"(78.00000061101773, 760.0000005625928, 768.5576171875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",0.00011864888074342161,0.2514096501421897
8,2.403728485107422,7.1241455078125,"(78.00000061101773, 760.0000005625928, 767.1241455078125)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",9.70889232121408e-05,0.26718418514885744
9,2.202062225341797,6.6453857421875,"(78.00000061101773, 760.0000005625928, 766.6453857421875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",8.11357022030279e-05,0.2821750541045106
10,2.0278448486328124,6.820068359375,"(64.0000000706347, 627.9999985568319, 634.820068359375)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",7.152632315410301e-05,0.2964946457085028
11,1.9818595886230468,6.70440673828125,"(64.0000000706347, 627.9999985568319, 634.7044067382812)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.880499859107658e-05,0.310230713116081
12,1.9727645874023438,6.468780517578125,"(18.999998749950265, 160.99999347621787, 154.53121948242188)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.958872108953074e-05,0.3234530928546653
13,1.9333689880371094,6.336090087890625,"(18.999998749950265, 160.99999347621787, 154.66390991210938)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.624773232033476e-05,0.3362188052869164
14,1.8663435363769532,6.71173095703125,"(18.999998749950265, 160.99999347621787, 154.28826904296875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.386535824276507e-05,0.34857482622602676
15,1.888563232421875,6.28790283203125,"(18.999998749950265, 160.99999347621787, 154.71209716796875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.291636236710474e-05,0.3605605843628574
16,1.885660400390625,5.468170166015625,"(18.999998749950265, 160.99999347621787, 155.53182983398438)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.137799209682271e-05,0.37220951527651325
17,1.8431301879882813,5.673675537109375,"(18.999998749950265, 160.99999347621787, 155.32632446289062)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.023543392075226e-05,0.383550251768839
18,1.8143841552734374,6.0948486328125,"(81.00000031055308, 800.9999935265985, 794.9051513671875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.9592963225441054e-05,0.3946075916780455
19,1.747598876953125,5.96240234375,"(81.00000031055308, 800.9999935265985, 795.03759765625)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.7498353271512315e-05,0.40540310192405254
20,1.7794319152832032,6.192626953125,"(81.00000031055308, 800.9999935265985, 794.807373046875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.862847683602013e-05,0.41595577755957
21,1.8242083740234376,5.2679443359375,"(81.00000031055308, 800.9999935265985, 795.7320556640625)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",6.0375125030986965e-05,0.4262823358175611
22,1.8025175476074218,5.52264404296875,"(78.00000061101773, 760.0000005625928, 765.5226440429688)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.8387555327499285e-05,0.43639770498481706
23,1.7474832153320312,5.8604736328125,"(81.00000031055308, 800.9999935265985, 795.1395263671875)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.530648923013359e-05,0.4463151905573126
24,1.7252796936035155,5.238616943359375,"(18.999998749950265, 160.99999347621787, 155.76138305664062)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.649792365147732e-05,0.4560467746557714
25,1.6953140258789063,5.2994384765625,"(81.00000031055308, 800.9999935265985, 795.7005615234375)","(1.0000005527381077, -6.148467434741178e-06, 0.0)",5.27505180798471e-05,0.4656032332263459
